scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus chiguanco,-70.1044444,-17.8733333,S48711479,Peru,obs163035,S48711479,,true,PE-TAC,L6090435,Traveling,24-07-04,2004,7,240,2.5,2
Turdus chiguanco,-69.0772717,-33.9011125,S38303584,Argentina,obs643015,S38303584,,true,AR-M,L6120146,Stationary,05-02-04,2004,14,20,0,2
Turdus chiguanco,-65.659748,-27.021381,S39972388,Argentina,obs966002,S39972388,3,true,AR-T,L720676,Traveling,05-04-04,2004,14.5,105,4,4
Turdus chiguanco,-71.8814357,-16.0306046,S47783516,Peru,obs210454,S47783516,,true,PE-ARE,L7811121,Traveling,17-01-04,2004,6,240,5,3
Turdus chiguanco,-72.2666073,-13.2594201,S11474195,Peru,obs5042,S11474195,3,true,PE-CUS,L815614,Traveling,03-04-04,2004,16,60,1.609,1
Turdus chiguanco,-68.6446381,-15.7761477,S41741219,Bolivia,obs527452,S41741219,3,true,BO-L,L831344,Traveling,02-09-04,2004,14,150,3.219,2
Turdus chiguanco,-67.7639212,-37.7234952,S53722886,Argentina,obs1257411,S53722886,2,true,AR-L,L8835820,Traveling,08-12-04,2004,6.5,55,0.3,1
Turdus chiguanco,-71.9663823,-13.4804186,S6659654,Peru,obs150509,S6659654,,true,PE-CUS,L960625,Traveling,27-06-04,2004,8,180,3.058,1
Turdus chiguanco,-68.8609314,-16.2166526,S6905037,Bolivia,obs220662,S6905037,,true,BO-L,L997342,Traveling,30-12-04,2004,8,110,5,2
Turdus chiguanco,-74.9941349,-12.4989286,S7999995,Peru,obs59686,S7999995,3,true,PE-HUV,L1133903,Stationary,26-03-05,2005,9,300,0,1
Turdus chiguanco,-65.5471725,-28.2014997,S93683403,Argentina,obs1411808,S93683403,,true,AR-K,L16199589,Traveling,04-02-05,2005,7,270,3,1
Turdus chiguanco,-72.5224949,-13.1576666,S4372445,Peru,obs58698,S4372445,,true,PE-CUS,L1811275,Traveling,09-10-05,2005,6,180,1.609,2
Turdus chiguanco,-72.0421171,-13.4955547,S14380372,Peru,obs105481,S14380372,3,true,PE-CUS,L2217717,Stationary,25-06-05,2005,7,30,0,1
Turdus chiguanco,-74.8193362,-11.6549782,S14843790,Peru,obs18062,S14843790,,true,PE-JUN,L2305254,Traveling,04-01-05,2005,7.05,120,2,1
Turdus chiguanco,-71.668539,-15.6504298,S14910328,Peru,obs59686,S14910328,10,true,PE-ARE,L2316533,Stationary,11-04-05,2005,7,120,0,2
Turdus chiguanco,-72.117691,-13.3426114,S14997142,Peru,obs239469,S14997142,1,true,PE-CUS,L2330411,Stationary,26-07-05,2005,8,120,0,2
Turdus chiguanco,-69.287,-31.8863333,S58160575,Argentina,obs500739,S58160575,,true,AR-J,L2761634,Traveling,23-07-05,2005,14,90,5,2
Turdus chiguanco,-78.5063333,-1.312,S35963012,Ecuador,obs265043,S35963012,1,true,EC-T,L2763228,Traveling,13-03-05,2005,14,45,1.609,1
