scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus rufiventris,-58.2597739,-34.9717182,S143905361,Argentina,obs3428311,S143905361,4,true,AR-B,L21215844,Traveling,08-07-23,2023,11.81666667,31,0.67,1
Turdus rufiventris,-65.5191408,-26.2507549,S146374631,Argentina,obs2224155,S146374631,,true,AR-T,L21559721,Traveling,30-07-23,2023,9.166666667,60,5,2
Turdus rufiventris,-59.3573904,-26.3343626,S144867772,Argentina,obs1825204,S144867772,1,true,AR-P,L21604169,Traveling,17-07-23,2023,14.33333333,20,0.4,1
Turdus rufiventris,-58.0717733,-32.3575775,S145086422,Uruguay,obs1438730,S145086422,1,true,UY-PA,L21740388,Traveling,18-07-23,2023,16.5,30,0.5,1
Turdus rufiventris,-40.4720581,-3.6098772,S145447067,Brazil,obs623665,S145447067,1,true,BR-CE,L21822567,Traveling,22-07-23,2023,7.45,272,0.41,1
Turdus rufiventris,-42.7322607,-19.393146,S144709916,Brazil,obs513345,S144709916,2,true,BR-MG,L21937341,Stationary,16-07-23,2023,6.933333333,10,0,1
Turdus rufiventris,-42.7290232,-19.3926062,S144709878,Brazil,obs513345,S144709878,2,true,BR-MG,L21937347,Stationary,16-07-23,2023,6.733333333,10,0,1
Turdus rufiventris,-42.7335982,-19.4059597,S144818969,Brazil,obs513345,S144818969,2,true,BR-MG,L21937789,Stationary,17-07-23,2023,7.033333333,10,0,1
Turdus rufiventris,-43.939017,-19.991523,S144115030,Brazil,obs1477653,S144115030,3,true,BR-MG,L22002683,Traveling,10-07-23,2023,6,139,0.931,1
Turdus rufiventris,-56.8441323,-26.0959394,S143384575,Paraguay,obs3292049,S143384575,1,true,PY-9,L22052075,Traveling,02-07-23,2023,17.1,26,0.65,1
Turdus rufiventris,-64.5063382,-31.8217722,S145284485,Argentina,obs3203005,S145284485,3,true,AR-X,L22054397,Traveling,16-07-23,2023,15.31666667,127,2.3,3
Turdus rufiventris,-42.6891786,-19.4090714,S145048481,Brazil,obs513345,S145048481,1,true,BR-MG,L22147660,Stationary,18-07-23,2023,8.716666667,10,0,1
Turdus rufiventris,-42.4480339,-19.537124,S145104872,Brazil,obs513345,S145104872,1,true,BR-MG,L22147695,Stationary,20-07-23,2023,6.216666667,10,0,1
Turdus rufiventris,-46.074676,-23.405392,S144609972,Brazil,obs1331324,S144609972,1,true,BR-SP,L22185580,Traveling,15-07-23,2023,8.066666667,171,2.111,1
Turdus rufiventris,-57.2140748,-28.5542726,S145423646,Argentina,obs229078,S145423646,10,true,AR-W,L22236910,Traveling,23-07-23,2023,12.83333333,143,4.61,1
Turdus rufiventris,-64.9012625,-23.6777525,S146099589,Argentina,obs635326,S146099589,2,true,AR-Y,L22249789,Traveling,30-07-23,2023,15.43333333,45,2.06,1
Turdus rufiventris,-55.793671,-26.5062466,S146243889,Paraguay,obs1092916,S146243889,1,true,PY-7,L22283993,Traveling,27-07-23,2023,9.166666667,18,0.52,2
